District_ID,SE_15_16_AlgI,SE_15_16_AlgII,SE_15_16_Geo,SE_15_16_1,SE_15_16_2,SE_15_16_3,SE_15_16_4,SE_15_16_5,SE_15_16_6,SE_15_16_7,SE_15_16_8,SE_15_16_K,SE_15_16_PreCalc,SE_15_16_Tot
001i000001NBubjAAD,335,0,85,465,435,520,450,450,565,515,595,520,0,16775
001i000001NBV9BAAX,0,0,0,40,120,20,20,0,0,0,0,25,0,900
001i000001NpcWKAAZ,0,0,0,70,90,80,75,100,3,0,0,60,0,1749
001i000001NpdwjAAB,0,0,0,69,60,62,50,50,0,0,0,71,0,1398
001i000001NqeW0AAJ,0,0,0,0,0,20,0,0,0,0,0,0,0,80
001i000001NqlzhAAB,20,0,20,50,50,60,60,50,50,60,20,50,0,1600
001i000001NsgDkAAJ,0,0,0,25,25,0,0,0,0,0,0,25,0,300
001i000001Nsl5eAAB,30,20,25,20,20,20,20,25,25,25,25,0,0,770
001i000001Nt9peAAB,0,0,0,422,410,426,435,440,439,541,444,378,0,13876
001i000001NVSjNAAX,0,0,0,0,0,0,0,0,0,50,0,0,0,150
001i000001NVxFxAAL,0,0,0,60,50,90,60,0,0,0,0,0,0,1040
001i000001NWH7fAAH,0,0,0,40,40,40,40,40,40,40,40,40,0,1280
001i000001NXWuXAAX,0,0,0,300,300,272.5,250,250,216.6666667,216.6666667,216.6666667,350,0,8590
001i000001o9a27AAA,20,20,20,20,20,20,20,20,20,20,20,20,20,800
001i000001o9QPEAA2,0,0,0,60,60,30,30,30,0,0,0,30,0,930
001i000001o9v31AAA,0,0,0,185,217,206,192,190,0,0,0,200,0,4570
001i000001oBewzAAC,0,0,0,0,0,0,0,0,20,20,20,0,0,180
001i000001oBz7zAAC,0,0,0,60,60,60,60,60,0,0,0,60,0,1380
001i000001oC8grAAC,0,0,0,9,0,0,11,10,0,0,0,14,0,166
001i000001oCDjxAAG,0,0,0,20,25,20,20,20,20,20,20,25,0,680
001i000001Or6LFAAZ,0,0,0,90,80,80,90,60,0,0,0,75,0,1840
001i000001OsmSBAAZ,0,0,0,60,61,66,61,63,80,70,80,60,0,1991
001i000001OsXwPAAV,0,0,0,0,120,0,0,0,0,0,0,0,0,480
001i000001OtfiVAAR,0,0,0,540,450,432.5,407.5,473.3333333,480,0,0,540,0,12340
001i000001Otg73AAB,0,0,0,25,30,30,20,20,0,0,0,25,0,580
001i000001otinbAAA,0,0,0,0,0,0,0,0,0,15,6.666666667,0,0,65
001i000001OtKkCAAV,0,0,0,30,25,31,30,31,30,30,30,25,0,927
001i000001otvcqAAA,0,0,0,60,75,70,70,80,0,0,0,0,0,1340
001i000001ovGn8AAE,0,0,0,101,1,1,1,1,0,0,0,1,0,423
001i000001PFarJAAT,0,0,0,60,30,0,0,0,0,0,0,0,0,360
001i000001PFnfSAAT,0,0,0,0,0,0,0,0,80,80,80,0,0,720
001i000001PG35mAAD,0,0,0,220,190,265,230,0,0,0,0,220,0,4500
001i000001PGaSrAAL,0,0,0,1180,1340,1400,1540,1480,1440,0,0,1140,0,35160
001i000001PGgKkAAL,0,0,0,51,104,284,307,178,377.5,0,0,0,0,3656
001i000001PGIEXAA5,25,25,25,25,25,25,25,33.33333333,50,50,50,0,25,1150
001i000001PI4CyAAL,0,0,0,15,7,13,15,23,0,0,0,9,0,305
001i000001PIEAdAAP,21,1,1,40,40,60,60,60,51,35,91,60,1,1799
001i000001PIGDZAA5,0,0,0,60,40,50,50,50,40,54,20,60,0,1532
001i000001pIgW2AAK,0,0,0,0,40,40,0,20,20,0,0,0,0,440
001i000001PIS5CAAX,0,0,0,126,105,89,92,89,91,64,49,99,0,2923
001i000001pJ3qwAAC,0,0,0,175,150,125,125,25,20,0,0,125,0,2935
001i000001pJ7CAAA0,0,0,0,0,0,0,0,0,0,0,60,0,0,180
001i000001PJ8DmAAL,0,0,0,165,165,0,0,0,0,0,0,0,0,1320
001i000001pMYIgAAO,0,0,0,20,20,20,20,20,20,25,20,20,0,655
001i000001pvltAAAQ,0,0,0,0,0,25,20,30,25,0,0,0,0,345
001i000001pvWX1AAM,0,0,0,0,0,0,0,0,0,20,20,0,0,120
001i000001pxA4pAAE,0,0,0,25,25,25,29,25,0,0,0,0,0,491
001i000001QCBfYAAX,0,0,0,30,60,90,90,0,0,0,0,90,0,1440
001i000001QCYpXAAX,0,0,0,150,140,150,140,290,142,150,0,145,0,4646
001i000001QCYz8AAH,0,0,0,45,40,65,45,40,35,0,0,35,0,1145
001i000001QE1oDAAT,0,0,0,0,35,35,0,0,0,0,0,0,0,280
001i000001QE6uFAAT,0,0,0,1300,1400,1400,1560,1560,0,0,0,0,0,27320
001i000001qej3sAAA,0,0,0,40,43,41,37,32,43,36,30,37,0,1215
001i000001qej7iAAA,0,0,0,60,60,60,70,70,0,0,0,90,0,1570
001i000001qej9oAAA,0,0,0,20,20,22.25,20,20,0,0,0,20,0,469
001i000001QFb2vAAD,0,0,0,230,240,230,230,270,170,150,150,200,0,3980
001i000001QFJk1AAH,0,0,0,65,80,75,70,65,0,0,0,65,0,1615
001i000001qfrNeAAI,0,0,0,0,0,0,0,4,2,4,2,0,0,24
001i000001QFzGxAAL,0,0,0,0,0,0,0,40,40,0,0,0,0,240
001i000001QFZlQAAX,0,0,0,85,85,90,85,0,0,0,0,0,0,1380
001i000001qg01hAAA,0,0,0,0,0,150,135,125,0,0,0,0,0,1515
001i000001QG7MCAA1,0,0,0,255,230,235,275,195,200,0,150,0,0,5615
001i000001QjY1MAAV,120,0,0,570,600,510,540,450,450,360,360,570,0,16260
001i000001QkLJFAA3,0,0,0,2,2,0,0,0,0,0,0,0,0,10
001i000001QkqQMAAZ,0,0,0,0,0,0,0,0,35.33333333,0,0,0,0,106
001i000001QmHpnAAF,50,0,25,425,425,400,350,475,450,525,500,425,0,14100
001i000001QmlsRAAR,0,0,0,25,20,20,0,0,0,0,0,20,0,340
001i000001QmMS8AAN,0,0,0,125,125,180,160,150,0,0,0,130,0,3330
001i000001QmnJhAAJ,0,0,0,0,0,0,0,0,75,85,75,0,0,395
001i000001qUswRAAS,0,0,0,7,4,2,2,9,7,0,0,0,0,108
001i000001qVRMJAA4,0,0,0,0,0,103,100,83.33333333,0,0,0,0,0,1062
001i000001qVRycAAG,0,0,0,125,125,0,0,0,0,0,0,150,0,1600
001i000001qVS2oAAG,0,0,0,0,150,0,156.25,0,0,0,0,125,0,900
001i000001qVS6iAAG,0,0,0,60,0,0,0,0,0,0,0,0,0,240
001i000001qVSwlAAG,0,0,0,35,35,0,35,0,0,0,0,0,0,315
001i000001qVT0RAAW,0,0,0,0,0,50,65,90,0,0,0,0,0,730
001i000001qVT1tAAG,0,0,0,0,0,60,0,60,0,0,0,0,0,420
001i000001qVT4dAAG,0,0,0,227,205,385,195,105,0,0,0,385,0,5903
001i000001R9FnNAAV,0,0,0,60,90,60,90,90,30,0,0,60,0,1800
001i000001R9FshAAF,0,0,0,0,0,150,0,0,0,0,0,0,0,600
001i000001R9GFrAAN,0,0,0,0,0,0,0,140,130,150,150,0,0,570
001i000001RcCqFAAV,0,0,0,280,295,295,295,320,0,0,0,270,0,6700
001i000001RcEutAAF,0,0,0,60,60,60,60,30,30,36,30,60,0,1578
001i000001RCgYMAA1,0,0,0,80,80,80,80,80,54,52,50,80,0,2308
001i000001RcRM3AAN,0,0,0,1251,1444,1392,1558,1342,91,25,0,1435,0,32694
001i000001RdjTcAAJ,0,0,0,140,140,160,160,170,0,0,0,110,0,3350
001i000001RdK6DAAV,30,25,30,0,0,0,0,0,0,30,30,0,20,390
001i000001RfgD9AAJ,3,0,3,38.5,0,0,0,0,27,27,9,0,0,275
001i000001rNAfyAAG,0,0,0,20,0,0,0,0,0,0,0,20,0,160
001i000001rO7TMAA0,0,0,0,0,0,0,0,0,75,75,75,0,0,675
001i000001rO8GYAA0,0,0,0,150,150,150,150,0,0,0,0,150,0,3000
001i000001rO8qmAAC,0,0,0,1,1,1,1,1,1,1,1,1,0,32
001i000001rO8SGAA0,0,0,0,37.5,27,25,35,32,28.33333333,0,0,25,0,779
001i000001Rx6mgAAB,0,0,0,0,0,25,0,0,0,0,0,0,0,100
001i000001RxZhxAAF,0,0,0,110,104.5,128.75,126.25,0,0,0,0,120,0,2358
001i000001RyagPAAR,0,0,0,515,465,396,405,456.6666667,370,0,0,475,0,11504
001i000001RyavtAAB,125,0,0,0,0,0,0,0,125,90,90,0,0,1165
001i000001RygUPAAZ,0,0,0,0,0,0,0,0,75,75,75,0,0,675
001i000001RyJBaAAN,0,0,0,50,20,20,225,215,210,210,0,0,0,2735
001i000001Rz66fAAB,0,0,0,115,110,110,145,0,0,0,0,95,0,2300
001i000001Rz9ObAAJ,0,0,0,85,85,85,85,85,0,0,0,0,0,1615
001i000001s1oLCAAY,0,0,0,0,0,0,0,1,0,0,0,0,0,3
001i000001s294qAAA,0,0,0,0,0,0,0,0,60,60,60,0,0,540
001i000001s3nkoAAA,200,0,0,165,165,1900,2030,1890,1650,1560,1500,165,0,37900
001i000001SapzyAAB,0,0,0,0,0,0,0,0,0,50,10,0,0,180
001i000001SbiJDAAZ,0,0,0,15,15,0,0,1,0,30,35,10,0,357
001i000001scfiQAAQ,0,0,0,120,0,0,140,0,0,0,0,0,0,1040
001i000001scjpzAAA,0,0,0,31.66666667,30,32,25,30,30,30,30,25,0,561
001i000001ScRpqAAF,165,100,120,330,295,295,295,306.6666667,266.6666667,266.6666667,266.6666667,300,40,10230
001i000001ScRu2AAF,0,0,0,0,0,0,420,420,0,0,0,0,0,840
001i000001SctbLAAR,0,0,0,0,0,0,0,20,0,0,0,0,0,60
001i000001ScyUxAAJ,0,0,0,0,0,135,135,140,125,0,0,0,0,1875
001i000001SywJnAAJ,0,0,0,0,0,0,80,30,0,0,0,0,0,410
001i000001Syx7VAAR,1,0,0,0,0,0,0,0,0,0,0,0,0,2
001i000001SzahrAAB,0,0,0,25,0,50,50,60,50,0,0,0,0,830
001i000001SzTElAAN,0,0,0,100,100,120,120,120,120,120,90,0,0,3110
001i000001T06FqAAJ,0,0,0,0,0,80,0,0,0,0,0,0,0,160
001i000001T0DmjAAF,3,0,0,11,8,9,12,8,8,10,3,10,0,293
001i000001T162pAAB,0,0,0,75,75,100,90,92.66666667,0,0,0,100,0,2038
001i000001T1AtqAAF,0,0,0,51,50,50,60,60,0,0,0,50,0,1224
001i000001T1OKYAA3,300,0,0,0,0,0,0,0,0,0,0,0,0,600
001i000001T1ON4AAN,0,0,0,10,60,70,70,60,60,0,0,10,0,1240
001i000001T23WoAAJ,0,0,0,0,150,150,150,150,150,150,150,0,0,3600
001i000001TaCGdAAN,0,0,0,1585.5,1758.5,1933.25,1788.75,1803.333333,0,0,0,1596.5,0,40060
001i000001TaGM5AAN,0,0,0,154,186,190.25,219.25,188.3333333,0,0,0,136,0,4107
001i000001TaOVbAAN,0,0,0,225,225,225,240,240,300,132,0,225,0,6576
001i000001TbzSeAAJ,0,0,0,0,0,30,30,30,30,30,30,0,0,600
001i000001TcCqnAAF,120,120,120,125,125,125,120,121,121,130,120,125,0,4676
001i000001TcP0WAAV,20,0,0,40,40,40,40,40,40,40,40,40,0,1320
001i000001TdOyGAAV,80,0,55,0,0,0,0,0,0,60,80,0,0,690
001i000001TZn7UAAT,0,0,0,32,35,25,25,32,0,0,0,0,0,564
001i000001U7wtJAAR,0,0,0,5,2,2,4,0,0,0,0,3,0,64
001i000001U7z5MAAR,180,90,180,125,125,125,100,100,140,170,170,125,40,5120
001i000001U81EbAAJ,0,0,0,55,55,55,0,0,0,0,0,80,0,980
001i000001U874zAAB,100,50,55,30,30,60,60,60,0,0,0,30,0,1430
001i000001U8TTUAA3,0,0,0,20,40,30,25,30,0,0,0,0,0,550
001i000001U9bKRAAZ,0,0,0,80,55,55,55,0,0,0,0,45,0,1160
001i000001U9iHcAAJ,0,0,0,6,6,6,0,0,0,0,0,6,0,96
001i000001U9iOTAAZ,0,0,0,175,150,125,150,210,0,0,0,125,0,3530
001i000001U9iPHAAZ,0,0,0,115,115,115,30,0,0,0,0,0,0,1500
001i000001UAI3HAAX,0,0,0,180,218.75,250,195,170,170,0,0,200,0,5195
001i000001UAN6uAAH,0,0,0,0,0,0,0,45,0,0,0,0,0,135
001i000001UBIGlAAP,0,0,0,45,55,40,40,40,40,0,0,50,0,1160
001i000001UBKyYAAX,0,0,0,20,20,20,20,20,0,0,0,20,0,460
001i000001UfAXjAAN,0,0,0,40,40,40,0,0,0,0,0,40,0,640
001i000001UfAZGAA3,0,0,0,0,0,0,150,150,120,0,0,0,0,1410
001i000001UgqjIAAR,0,0,0,275,275,250,250,225,0,0,0,250,0,5875
001i000001Uh1iaAAB,0,0,0,75,75,75,75,0,0,0,0,0,0,1200
001i000001Uh5k9AAB,0,0,0,50,50,50,50,25,50,50,50,50,0,1525
001i000001UhOowAAF,0,0,0,25,30,25,25,30,25,30,25,25,0,850
001i000001UhuTKAAZ,0,0,0,1,1,1,1,0,0,0,0,1,0,20
001i000001UiwUrAAJ,1,1,1,31,31,31,31,31,31,1,1,31,0,818
001i000001VabS0AAJ,0,0,0,0,0,175,185,0,0,0,0,0,0,1440
001i000001Vaf96AAB,0,0,0,0,0,0,0,0,62.66666667,0,0,0,0,188
001i000001VaoOlAAJ,0,0,0,150,150,0,0,0,0,0,0,150,0,1800
001i000001VXgV3AAL,0,0,0,0,0,0,0,5,8,0,0,12,0,87
001i000001VXPuYAAX,0,0,0,75,79.5,72,75,75,63.33333333,70.33333333,60.33333333,79.75,0,2332
001i000001VZAthAAH,0,0,0,0,0,0,0,0,85,0,0,0,0,255
001i000001VZH7jAAH,0,0,0,130,130,130,130,150,130,130,130,130,0,4220
001i000001VZN4cAAH,0,0,0,0,0,0,0,20,40,40,20,0,0,360
001i000001VZSrlAAH,0,0,0,147,134.25,20,20,20,0,0,0,129.75,0,1864
001i000001w5HIYAA2,0,0,0,185,203,186,189,187,290,0,0,201,0,5287
001i000001xHMqgAAG,0,0,0,1,1,1,1,1,1,1,1,1,0,9
001i000001XR1SoAAL,30,0,0,0,0,0,0,55,55,55,25,0,0,630
001i000001XR9xEAAT,0,0,0,50,0,0,75,0,0,0,0,0,0,500
001i000001XRjQ7AAL,0,0,0,210,212.5,210,165,40,0,0,0,180,0,3670
001i000001XRtWaAAL,0,0,0,65,78,271,219,225,217,222,0,66,0,4788
001i000001XRuwTAAT,0,0,0,0,0,3,0,0,0,0,0,0,0,12
001i000001XTHicAAH,0,0,0,0,0,0,0,5,0,0,0,0,0,15
001i000001XTk2cAAD,0,0,0,60,60,60,60,60,0,0,0,0,0,1140
001i000001XTKE9AAP,0,0,0,0,0,0,0,152,142,72,0,0,0,1098
001i000001XTLsYAAX,0,0,0,0,0,35,30,35,0,0,0,0,0,365
001i000001XTMmnAAH,0,0,0,0,0,110,110,110,110,110,0,0,0,1870
001i000001XTqcqAAD,0,0,0,100,75,75,75,75,0,0,0,75,0,1825
001i000001XTskmAAD,0,0,0,0,0,0,1,1,0,0,0,0,0,7
001i000001XTuIGAA1,0,0,0,0,0,0,0,0,0,0,0,20,0,80
001i000001XU0nDAAT,100,80,90,0,0,0,0,0,90,75,60,0,25,1265
001i000001XU0ypAAD,0,0,0,34,25,30,30,20,0,0,0,33,0,668
001i000001XV445AAD,1,1,1,1,1,1,1,1,1,1,1,2,0,42
001i000001ZbEKnAAN,0,0,0,20,20,20,20,20,0,0,0,20,0,460
001i000001ZbHdVAAV,0,0,0,0,0,0,30,20,20,0,0,0,0,240
001i000001ZbIqzAAF,0,0,0,25,25,25,25,25,25,25,0,0,0,625
001i000001ZbxueAAB,0,0,0,50,50,50,55,55,35,0,0,50,0,1290
