District_ID,SE_15_16_AlgI,SE_15_16_AlgII,SE_15_16_Geo,SE_15_16_1,SE_15_16_2,SE_15_16_3,SE_15_16_4,SE_15_16_5,SE_15_16_6,SE_15_16_7,SE_15_16_8,SE_15_16_K,SE_15_16_PreCalc,SE_15_16_Tot
001i00000184235AAA,0,0,0,270,260,260,250,250,0,0,0,272.5,0,6000
001i00000184249AAA,0,0,0,170,180,190,187.5,198.3333333,0,0,0,165,0,4165
001i0000018424MAAQ,125,25,0,0,0,70,0,100,150,150,100,0,0,2080
001i0000018PFveAAG,50,0,20,0,0,0,0,0,0,0,0,0,0,140
001i0000018PINpAAO,0,0,0,90,90,90,90,90,90,90,90,90,0,2880
001i0000018PIR2AAO,0,0,0,55,55,55,0,55,0,0,0,0,0,825
001i0000018PITvAAO,0,0,0,22,23,40,11,9,10,0,0,42,0,609
001i0000018PIWBAA4,0,0,0,0,0,0,0,0,25,25,25,0,0,225
001i0000019MpmmAAC,0,0,0,100,20,80,105,100,0,0,0,70,0,1800
001i0000019MpmsAAC,0,0,0,90,30,0,0,40,0,0,0,30,0,310
001i0000019MpnHAAS,0,0,0,394.5,341.5,410.25,447,367.3333333,404.3333333,225,218,384.5,0,11555
001i0000019MpntAAC,0,0,0,0,20,20,20,0,0,0,0,0,0,240
001i0000019MpnTAAS,0,0,0,0,0,0,0,0,295,0,0,0,0,590
001i0000019MpnyAAC,0,0,0,0,0,0,0,0,810,940,420,0,0,6510
001i0000019Mpo1AAC,0,0,0,0,0,0,0,0,0,0,0,1,0,4
001i0000019MpoBAAS,0,0,0,60,60,60,60,60,60,60,60,60,0,1920
001i0000019MpodAAC,0,0,0,624,652,696,715,647,677,390,420,647,0,19738
001i0000019MpoDAAS,0,0,0,0,166,154,175,156,0,0,0,87.33333333,0,2710
001i0000019MpogAAC,0,0,0,0,0,25,0,0,0,0,0,0,0,100
001i0000019MpoIAAS,0,0,0,0,60,60,60,60,30,30,30,0,0,1170
001i0000019MpopAAC,0,0,0,640,822,1120,1010,1015,170,150,50,580,0,20843
001i0000019MpoSAAS,0,0,0,150,150,150,155.25,0,0,0,0,6,0,2445
001i0000019MpouAAC,0,0,0,0,0,0,0,0,30,0,0,0,0,90
001i0000019Mpp4AAC,0,0,0,0,0,0,20,20,0,0,0,0,0,140
001i0000019Mpp6AAC,0,0,0,125,300,270,300,270,0,0,0,0,0,4790
001i0000019MppbAAC,0,0,0,115,122,125,125,130,90,70,0,105,0,3238
001i0000019MppkAAC,0,0,0,170,175,165,150,145,164,0,0,55,0,3787
001i0000019MppnAAC,13.5,0,0,0,0,0,0,0,9.333333333,0,0,0,0,55
001i0000019MppqAAC,0,0,0,100,165,120,125,120,0,0,0,100,0,2800
001i0000019MprsAAC,0,0,0,0,0,0,20,20,0,0,0,0,0,100
001i0000019MpruAAC,0,0,0,100,80,100,0,0,0,0,0,140,0,1680
001i0000019MprVAAS,0,0,0,125,110,125,125,120,0,0,0,140,0,2485
001i0000019Mps2AAC,0,0,0,0,0,0,0,0,0,0,2,0,0,6
001i0000019Mps6AAC,0,0,0,150,150,180,150,150,300,0,0,150,0,4470
001i0000019MpsWAAS,0,0,0,471,510,487,501,473,0,0,0,461,0,11139
001i000001a15KuAAI,0,0,0,150,150,150,150,150,150,0,0,150,0,1050
